ProductoID,ProductoNombre,Presentación,Unidad
HIE-001,Culantro,Atado Estándar,Atado (250g)
HIE-002,Perejil Criollo,Atado Estándar,Atado (250g)
HIE-003,Albahaca,Atado Estándar,Atado (250g)
HIE-004,Huacatay,Atado Estándar,Atado (250g)
HIE-005,Hierba Buena,Atado Estándar,Atado (250g)
HIE-006,Hierba Luisa,Atado Estándar,Atado (250g)
HIE-007,Menta,Atado Estándar,Atado (250g)
HIE-008,Orégano Verde,Atado Estándar,Atado (250g)
HIE-009,Romero,Atado Estándar,Atado (250g)
HIE-010,Muña,Atado Estándar,Atado (250g)
HIE-011,Cebolla China,Atado Estándar,Atado (250g)
